AVInterval,DD_factor,DP_rule,throughput,avgFT,avgWIP
38,107,1,4,110.25,1.85
48,102,1,4,103.25,1.5633333333333332
28,174,1,5,131.8,3.3633333333333333
31,187,3,4,121.75,2.6566666666666667
7,163,1,5,175.8,18.47
49,179,1,3,100.0,1.49
21,102,1,5,140.2,4.8566666666666665
5,121,3,5,178.8,26.83
16,129,1,5,150.2,6.663333333333333
12,177,2,6,164.0,9.52
47,138,2,3,104.33333333333333,1.5133333333333334
34,126,2,5,118.0,2.566666666666667
36,169,1,5,110.2,2.2066666666666666
4,141,3,5,178.8,34.26
30,156,2,5,128.8,3.0933333333333333
14,178,3,5,155.0,8.183333333333334
19,183,3,5,141.6,5.21
34,174,1,5,118.0,2.5566666666666666
6,118,2,5,170.8,21.766666666666666
30,103,2,5,124.4,3.046666666666667
30,149,3,5,123.4,3.0033333333333334
32,170,2,5,114.4,2.546666666666667
37,198,2,4,107.0,2.1666666666666665
19,179,2,5,142.2,5.22
16,157,1,5,146.2,6.596666666666667
47,118,1,3,108.66666666666667,1.5566666666666666
16,140,3,5,148.2,6.63
1,112,2,6,199.5,146.58333333333334
35,189,1,4,115.75,2.243333333333333
38,163,1,5,108.4,2.14
34,187,2,5,115.6,2.4966666666666666
14,181,1,5,153.0,8.15
11,139,1,5,165.2,11.223333333333333
21,136,3,5,141.2,4.873333333333333
36,125,1,5,112.8,2.3
12,104,3,5,161.8,9.536666666666667
37,190,1,5,106.2,2.16
24,129,3,5,134.8,3.9266666666666667
45,184,1,4,107.0,1.7433333333333334
25,180,3,5,130.6,3.5866666666666664
45,139,1,4,109.75,1.78
40,153,1,4,107.75,1.8366666666666667
4,120,1,5,174.8,34.193333333333335
29,119,2,5,119.2,2.953333333333333
22,171,3,5,135.8,4.316666666666666
3,147,3,5,171.2,46.56333333333333
40,178,1,4,106.75,1.8233333333333333
10,103,2,5,167.4,11.99
19,100,2,5,144.6,5.26
14,195,3,5,153.4,8.156666666666666
39,105,1,4,110.5,1.8633333333333333
18,135,2,5,144.8,5.713333333333333
26,121,3,5,137.2,3.7466666666666666
40,196,1,4,108.75,1.85
16,171,2,5,142.8,6.54
23,159,3,5,139.8,4.476666666666667
49,139,1,3,108.66666666666667,1.5766666666666667
44,107,1,4,108.25,1.7233333333333334
2,152,1,6,197.0,71.62666666666667
4,165,3,5,168.4,34.086666666666666
43,171,2,4,110.75,1.8
42,160,3,4,110.0,1.8866666666666667
41,125,2,4,106.0,1.8233333333333333
14,132,2,5,153.6,8.16
15,141,3,5,162.4,7.303333333333334
29,168,3,5,128.0,3.15
29,148,3,5,122.2,3.0033333333333334
6,169,2,6,183.16666666666666,21.723333333333333
33,140,3,5,116.0,2.5933333333333333
35,126,2,5,113.2,2.3966666666666665
20,113,2,5,137.2,4.6866666666666665
19,190,2,5,146.2,5.286666666666667
7,193,1,5,172.2,18.41
36,130,1,4,112.5,2.22
31,131,1,5,119.4,2.783333333333333
31,182,1,5,124.6,2.9633333333333334
34,155,2,4,110.75,2.1566666666666667
3,153,2,6,193.5,47.27
13,184,2,5,162.6,9.34
49,168,2,3,100.0,1.49
5,160,1,5,182.4,26.89
21,191,1,5,139.0,4.836666666666667
33,166,1,4,113.75,2.6166666666666667
14,186,2,5,154.0,8.166666666666666
22,116,3,5,138.8,4.366666666666666
42,114,2,4,109.5,1.88
26,104,2,5,127.0,3.4166666666666665
7,107,1,5,166.6,18.316666666666666
19,127,2,5,139.2,5.17
25,113,2,5,130.0,3.6166666666666667
18,148,1,5,147.2,5.753333333333333
29,156,1,5,121.8,2.9966666666666666
29,184,1,5,124.6,3.06
25,111,1,4,126.25,3.433333333333333
24,146,3,5,133.8,3.9566666666666666
18,191,2,5,147.6,5.76
40,140,1,4,111.0,1.88
5,173,2,5,173.2,26.736666666666668
48,188,3,3,109.33333333333333,1.5733333333333333
13,183,3,5,153.6,9.19
39,133,3,5,102.0,2.0033333333333334
22,181,3,5,141.6,4.466666666666667
5,100,1,5,176.6,26.793333333333333
23,171,1,5,130.2,4.316666666666666
13,106,2,5,162.0,9.33
1,156,1,5,189.6,146.73
20,148,2,5,142.0,4.796666666666667
40,187,3,4,103.25,1.7766666666666666
28,152,3,5,130.0,3.3
38,192,2,4,108.25,1.8633333333333333
38,185,2,4,111.5,1.8766666666666667
17,191,1,5,142.0,6.1066666666666665
26,173,2,5,128.2,3.4366666666666665
33,153,1,5,118.0,2.6266666666666665
41,110,2,4,106.0,1.8233333333333333
37,197,1,4,115.25,2.276666666666667
47,140,1,4,102.75,1.58
12,117,3,5,150.6,9.35
39,171,1,4,110.25,1.86
45,122,3,4,103.25,1.5933333333333333
19,103,2,5,147.8,5.3133333333333335
49,155,2,4,102.25,1.54
2,170,2,5,180.4,71.64666666666666
3,114,3,5,180.0,46.71
27,134,2,5,125.2,3.4366666666666665
3,135,2,5,178.4,46.68333333333333
41,172,2,4,109.75,1.8733333333333333
25,135,3,5,140.0,3.9833333333333334
22,133,3,5,136.8,4.333333333333333
12,163,1,5,166.0,9.606666666666667
24,179,3,5,129.2,3.8333333333333335
22,182,3,5,136.4,4.326666666666667
32,179,1,5,118.2,2.716666666666667
14,157,1,5,163.6,8.326666666666666
22,190,2,5,141.0,4.403333333333333
37,141,3,4,112.0,2.2333333333333334
33,160,1,4,121.5,2.72
35,197,2,4,111.75,2.19
14,101,2,5,148.8,8.08
10,109,1,5,156.2,11.803333333333333
23,110,2,5,139.2,4.466666666666667
43,145,3,4,110.75,1.8133333333333332
7,111,3,5,165.8,18.303333333333335
44,195,1,4,110.5,1.8066666666666666
5,197,3,5,175.2,26.77
26,192,1,5,130.6,3.5166666666666666
36,194,2,4,111.25,2.203333333333333
2,194,3,5,183.8,71.70333333333333
9,156,1,5,165.0,14.09
44,123,1,4,110.5,1.8066666666666666
43,114,1,4,108.0,1.7633333333333334
16,137,1,5,146.2,6.596666666666667
39,187,3,4,109.25,1.8566666666666667
49,127,2,3,104.33333333333333,1.5333333333333334
18,195,1,5,149.8,5.833333333333333
29,192,3,5,127.2,3.203333333333333
15,148,3,5,144.4,6.956666666666667
8,128,1,5,165.2,15.98
5,162,1,5,179.2,26.836666666666666
9,136,2,5,160.6,14.016666666666667
42,109,1,4,109.5,1.88
11,127,3,5,159.8,11.133333333333333
11,186,3,5,161.4,11.16
5,191,1,5,176.0,26.783333333333335
23,128,1,5,134.8,4.3933333333333335
25,152,2,5,131.4,3.7
13,147,1,5,160.6,9.306666666666667
4,101,3,5,178.6,34.25666666666667
6,114,1,6,181.5,22.406666666666666
4,138,2,5,172.6,34.156666666666666
24,114,2,5,129.0,3.83
19,156,3,5,145.4,5.273333333333333
7,165,2,5,167.6,18.333333333333332
28,158,2,4,126.75,3.09
5,154,1,5,180.0,26.85
32,149,3,5,120.8,2.7466666666666666
24,180,1,5,131.8,3.9233333333333333
22,134,3,5,133.2,4.273333333333333
33,167,1,5,116.6,2.6033333333333335
47,154,2,3,107.33333333333333,1.5433333333333332
40,193,1,4,108.75,1.85
40,161,1,4,108.5,1.8466666666666667
5,187,2,5,180.0,26.85
26,109,2,5,122.2,3.3366666666666664
40,119,2,4,104.0,1.7866666666666666
19,184,2,5,144.2,5.253333333333333
42,161,3,4,109.25,1.8766666666666667
33,177,3,5,119.8,2.683333333333333
39,182,2,4,110.75,1.8666666666666667
33,115,1,5,112.6,2.5366666666666666
37,134,3,4,110.75,2.216666666666667
18,190,1,5,149.2,5.786666666666667
22,185,1,5,137.8,4.35
5,140,2,5,169.2,26.67
20,132,1,5,138.6,4.71
31,157,2,5,119.4,2.783333333333333
40,164,2,4,103.25,1.7766666666666666
21,173,1,5,138.0,4.82
3,194,2,5,174.0,46.61
15,168,1,5,156.8,7.163333333333333
30,110,2,5,120.0,2.8666666666666667
45,180,3,4,108.25,1.7333333333333334
8,194,1,5,167.0,16.01
42,159,1,4,107.75,1.8566666666666667
39,147,1,5,104.0,2.0366666666666666
46,148,2,4,106.5,1.6266666666666667
47,193,3,4,103.25,1.5733333333333333
15,168,3,5,150.8,7.0633333333333335
6,113,3,5,178.0,21.886666666666667
43,187,3,4,103.25,1.7
15,161,1,5,153.0,7.1466666666666665
42,165,1,4,104.0,1.8066666666666666
12,110,1,5,150.6,9.35
46,124,2,4,107.25,1.7233333333333334
45,100,2,4,105.0,1.65
8,122,2,5,168.4,16.033333333333335
10,100,3,5,167.4,11.99
11,104,3,5,156.8,11.083333333333334
24,145,2,5,134.6,3.9233333333333333
18,116,1,5,145.2,5.72
38,175,3,4,103.0,1.7533333333333334
29,173,2,5,123.4,3.0566666666666666
43,156,3,4,108.0,1.7633333333333334
22,151,1,5,141.0,4.403333333333333
39,177,3,4,109.25,1.8566666666666667
24,106,3,5,135.4,3.9366666666666665
41,133,3,4,107.5,1.8433333333333333
26,189,1,5,124.4,3.3733333333333335
39,153,1,4,110.75,1.8666666666666667
46,143,3,4,106.25,1.71
42,175,3,4,103.25,1.7966666666666666
40,128,2,4,111.5,1.8866666666666667
26,164,1,4,131.0,3.566666666666667
8,120,2,5,167.4,16.016666666666666
37,148,2,4,113.5,2.2533333333333334
21,120,1,5,136.8,4.8
35,124,3,4,115.0,2.2333333333333334
43,194,3,4,106.0,1.6833333333333333
12,165,1,5,158.8,9.486666666666666
22,188,3,5,137.4,4.343333333333334
37,115,2,4,107.0,2.1666666666666665
10,189,3,5,164.2,11.936666666666667
44,193,2,4,103.25,1.69
25,173,3,5,124.2,3.32
43,160,1,4,106.0,1.7233333333333334
10,121,2,5,160.4,11.873333333333333
10,199,2,5,163.4,11.923333333333334
43,141,1,4,107.5,1.77
29,145,2,4,124.75,3.1133333333333333
20,167,2,5,144.0,5.01
33,186,2,5,115.4,2.5833333333333335
7,177,1,5,170.0,18.373333333333335
39,181,1,4,107.75,1.8266666666666667
31,154,3,5,115.2,2.6066666666666665
23,174,1,5,140.6,4.49
47,192,1,4,100.0,1.53
48,171,1,3,100.0,1.48
40,169,2,4,108.75,1.85
6,108,3,6,186.83333333333334,22.513333333333332
21,176,1,5,149.4,5.1
19,183,1,5,139.2,5.17
4,128,2,5,184.4,34.35333333333333
44,106,2,4,109.0,1.7266666666666666
40,179,2,4,111.0,1.88
22,198,1,5,137.8,4.403333333333333
35,122,3,4,108.5,2.1466666666666665
3,124,1,5,180.0,46.71
44,172,1,4,109.25,1.77
15,193,2,5,153.4,7.1066666666666665
25,188,3,5,131.2,3.5566666666666666
15,190,3,5,150.4,7.056666666666667
6,128,2,6,177.66666666666666,21.613333333333333
17,178,3,5,150.0,6.24
26,139,2,5,133.6,3.7266666666666666
36,133,2,4,109.75,2.183333333333333
33,199,2,5,114.8,2.5733333333333333
25,134,1,5,131.0,3.6533333333333333
25,145,1,5,134.0,3.743333333333333
20,190,3,5,145.2,5.06
3,152,2,5,179.6,46.70333333333333
9,151,3,5,159.2,13.993333333333334
28,117,1,5,128.6,3.2933333333333334
19,131,1,5,141.0,5.2
19,196,1,5,150.2,5.6866666666666665
29,156,1,5,125.8,3.0633333333333335
18,150,2,5,146.0,5.733333333333333
49,118,3,3,104.33333333333333,1.5333333333333334
22,104,2,5,143.0,4.596666666666667
1,109,1,5,180.8,146.58333333333334
9,119,3,5,169.0,14.156666666666666
37,136,3,4,107.0,2.1666666666666665
29,160,2,5,123.8,3.08
4,147,1,5,171.6,34.14
12,135,2,5,154.6,9.416666666666666
6,115,2,5,171.0,21.77
40,130,2,4,109.25,1.8566666666666667
38,185,3,4,108.25,1.8233333333333333
38,162,2,4,114.5,2.0166666666666666
40,187,3,4,100.0,1.7333333333333334
7,181,2,5,168.6,18.35
17,143,2,5,138.2,6.043333333333333
48,187,1,3,100.0,1.48
34,113,1,5,112.2,2.46
42,184,1,4,106.25,1.8366666666666667
5,169,1,5,178.0,26.816666666666666
40,118,1,4,105.5,1.8066666666666666
30,117,3,5,118.8,2.86
31,148,2,4,120.5,2.64
12,165,1,5,155.0,9.423333333333334
22,106,3,5,136.2,4.323333333333333
44,169,1,4,110.5,1.7866666666666666
22,174,2,5,134.4,4.293333333333333
2,190,2,5,181.2,71.66
32,184,2,4,117.25,2.63
16,123,2,5,159.4,6.99
34,131,3,5,114.0,2.45
14,121,2,5,153.4,8.156666666666666
46,115,3,4,103.25,1.5833333333333333
20,156,2,5,142.8,4.78
6,177,1,6,185.0,22.333333333333332
36,155,1,4,113.0,2.2266666666666666
48,144,1,3,108.0,1.56
19,125,2,5,148.6,5.726666666666667
39,167,2,4,112.0,1.8933333333333333
20,173,2,5,151.6,5.466666666666667
21,121,1,5,141.0,4.87
33,161,3,4,122.0,2.7266666666666666
48,114,2,4,103.25,1.5633333333333332
45,199,3,4,106.0,1.63
18,166,1,5,149.2,5.786666666666667
8,117,3,5,164.6,15.97
22,184,2,5,136.2,4.323333333333333
15,198,1,5,150.2,7.053333333333334
30,161,3,5,124.4,3.046666666666667
29,179,3,5,124.0,3.033333333333333
28,138,3,5,121.2,2.97
40,126,1,4,107.25,1.83
11,135,1,5,158.8,11.116666666666667
26,163,1,5,122.8,3.3466666666666667
39,110,3,4,114.25,1.9533333333333334
48,126,1,3,104.66666666666667,1.5266666666666666
23,198,1,5,137.2,4.433333333333334
37,173,1,4,116.0,2.2866666666666666
41,194,3,4,106.0,1.8233333333333333
20,179,2,5,142.8,4.9
4,173,3,5,172.6,34.156666666666666
14,135,3,5,151.8,8.13
16,187,1,5,153.6,6.72
28,182,3,5,125.4,3.256666666666667
38,119,2,4,109.0,1.8733333333333333
34,112,1,4,114.5,2.2066666666666666
24,196,2,5,126.2,3.783333333333333
29,143,2,5,125.4,3.1066666666666665
1,136,3,6,196.66666666666666,146.52666666666667
4,183,1,6,189.66666666666666,34.39333333333333
30,139,1,5,124.0,2.8533333333333335
49,170,3,4,102.25,1.54
17,140,2,5,156.2,6.383333333333334
13,172,3,5,158.0,9.263333333333334
33,103,2,5,116.0,2.5933333333333333
34,108,2,5,118.2,2.58
29,148,3,5,119.2,2.953333333333333
28,142,1,5,127.2,3.203333333333333
14,124,2,5,155.4,8.19
44,107,1,4,107.25,1.75
25,101,1,5,130.2,3.58
30,139,1,5,121.2,2.8866666666666667
35,180,2,4,111.75,2.19
36,125,3,5,111.4,2.2866666666666666
16,113,1,5,143.2,6.546666666666667
10,180,3,6,168.5,11.88
36,105,3,4,111.5,2.2066666666666666
38,153,1,5,109.0,2.1566666666666667
47,117,1,4,103.25,1.5733333333333333
23,199,2,5,133.6,4.373333333333333
45,115,3,4,108.25,1.7466666666666666
5,153,2,5,176.0,26.783333333333335
49,117,2,3,107.33333333333333,1.5633333333333332
14,133,2,5,154.0,8.166666666666666
10,199,1,5,159.8,11.863333333333333
41,123,1,4,112.0,1.9033333333333333
38,110,1,5,109.2,2.14
42,173,3,4,106.0,1.8333333333333333
6,124,2,5,174.2,21.823333333333334
36,166,1,4,112.75,2.223333333333333
26,180,2,5,128.8,3.466666666666667
28,165,2,5,122.6,3.1766666666666667
47,113,2,3,108.66666666666667,1.5566666666666666
10,188,1,6,176.0,12.643333333333333
47,147,3,4,106.0,1.6833333333333333
18,171,1,5,141.8,5.663333333333333
19,153,2,5,155.8,5.846666666666667
18,117,1,5,153.2,5.8533333333333335
26,188,1,5,122.6,3.3433333333333333
31,114,3,5,118.6,2.703333333333333
13,109,1,5,157.2,9.25
16,186,1,5,148.2,6.63
6,113,3,5,168.6,21.73
29,113,1,5,121.6,2.993333333333333
6,146,1,5,170.0,21.753333333333334
43,169,3,4,109.0,1.7566666666666666
1,146,1,5,182.6,146.61333333333334
6,129,1,5,165.2,21.673333333333332
30,176,1,5,123.0,2.93
2,141,2,5,188.8,71.78666666666666
45,107,3,4,107.25,1.7066666666666668
33,136,2,4,115.0,2.6333333333333333
29,154,3,4,123.0,3.09
1,181,1,6,191.83333333333334,146.43
8,136,2,5,169.8,16.05666666666667
40,199,1,4,107.25,1.83
9,177,1,5,170.8,14.186666666666667
46,160,3,4,104.0,1.6266666666666667
3,142,3,5,176.4,46.65
47,167,3,3,106.0,1.53
21,189,2,5,140.8,4.866666666666666
4,173,1,5,177.2,34.233333333333334
33,149,1,5,116.6,2.6033333333333335
34,135,1,5,112.4,2.4233333333333333
46,179,2,4,109.75,1.77
22,137,2,5,138.0,4.3533333333333335
39,185,2,4,103.0,1.7633333333333334
12,127,2,5,164.6,9.583333333333334
46,108,1,4,103.25,1.67
22,169,2,6,137.5,4.546666666666667
2,149,2,6,191.33333333333334,71.51333333333334
41,149,3,4,106.0,1.8233333333333333
8,184,3,5,174.8,16.14
49,147,1,3,103.66666666666667,1.5266666666666666
29,128,3,5,132.0,3.25
26,179,2,5,129.6,3.46
46,116,3,4,109.25,1.7633333333333334
34,189,2,5,113.8,2.4166666666666665
34,106,3,5,115.8,2.5
25,115,1,5,131.4,3.5
30,107,1,4,115.0,2.533333333333333
4,130,2,5,172.2,34.15
12,153,3,5,162.0,9.54
30,117,1,5,121.2,2.8866666666666667
27,158,1,5,129.0,3.5
43,164,1,4,109.25,1.78
39,102,2,4,112.0,1.8933333333333333
7,189,2,5,164.4,18.28
22,113,3,5,136.0,4.32
2,129,3,5,176.6,71.58333333333333
2,140,3,5,182.8,71.68666666666667
39,189,2,4,105.25,1.8033333333333332
34,181,2,5,110.6,2.3833333333333333
44,162,1,4,103.75,1.6166666666666667
33,177,3,5,118.4,2.6333333333333333
7,152,1,5,178.4,18.513333333333332
23,134,3,5,139.2,4.466666666666667
40,183,2,4,112.0,1.8933333333333333
1,199,2,6,199.33333333333334,146.58
1,165,3,5,182.4,146.61
46,121,3,4,103.25,1.67
7,103,1,5,174.8,18.453333333333333
40,169,1,4,105.75,1.81
47,198,2,4,107.75,1.6933333333333334
37,179,1,4,112.75,2.243333333333333
44,117,3,4,103.5,1.6133333333333333
24,189,1,5,134.0,3.9133333333333336
10,121,3,5,161.4,11.89
27,111,3,5,124.8,3.43
43,125,2,4,108.75,1.7733333333333334
39,128,1,4,109.75,1.8933333333333333
16,194,2,5,153.0,6.71
25,106,1,5,132.8,3.743333333333333
17,104,3,5,142.2,6.11
24,185,2,5,130.2,3.85
33,194,1,5,111.8,2.5233333333333334
19,125,2,5,142.0,5.216666666666667
21,156,1,5,144.6,4.93
7,184,3,5,171.6,18.4
12,133,3,5,158.2,9.476666666666667
14,131,1,5,158.6,8.243333333333334
8,125,3,5,164.0,15.96
49,119,2,3,108.0,1.57
28,138,1,4,121.75,3.0233333333333334
29,156,1,5,119.2,2.953333333333333
25,104,1,5,131.2,3.5566666666666666
3,143,2,5,184.4,46.78333333333333
48,120,1,4,107.0,1.6133333333333333
11,103,1,5,161.2,11.156666666666666
27,116,3,5,128.0,3.4833333333333334
48,131,3,3,105.0,1.53
17,163,1,5,151.0,6.256666666666667
44,193,3,4,103.75,1.71
48,138,3,3,108.33333333333333,1.5633333333333332
8,182,2,5,170.8,16.073333333333334
14,119,2,5,155.8,8.196666666666667
38,151,2,4,112.0,1.9533333333333334
6,148,2,5,171.4,21.776666666666667
12,188,3,5,156.4,9.446666666666667
1,163,2,5,185.8,146.66666666666666
49,150,3,3,109.33333333333333,1.5833333333333333
18,157,1,5,153.2,5.8533333333333335
9,104,3,5,163.4,14.063333333333333
15,155,2,5,154.2,7.12
47,126,2,3,105.33333333333333,1.5233333333333334
24,187,3,5,136.2,3.9966666666666666
38,183,3,4,108.75,1.83
39,143,3,4,111.75,1.92
3,178,1,6,186.0,46.5
30,150,3,5,122.0,2.8866666666666667
39,178,3,4,111.75,1.88
49,125,2,3,104.33333333333333,1.5333333333333334
46,138,1,4,110.25,1.7633333333333334
47,190,1,4,107.0,1.65
1,158,3,6,198.83333333333334,146.57
32,129,3,5,117.8,2.6033333333333335
13,175,2,5,156.6,9.24
39,136,2,4,109.25,1.8766666666666667
15,151,2,5,156.6,7.533333333333333
20,135,3,5,142.6,4.926666666666667
43,123,2,4,102.75,1.68
35,197,1,4,110.25,2.17
2,191,2,5,183.0,71.69
11,118,1,5,166.0,11.236666666666666
17,134,3,5,148.0,6.206666666666667
44,139,2,4,103.25,1.6033333333333333
42,104,3,4,105.25,1.8233333333333333
30,144,2,4,125.25,2.67
8,155,1,5,161.0,15.91
45,156,3,4,105.0,1.65
40,188,2,4,111.25,1.8833333333333333
12,187,2,5,165.2,9.593333333333334
49,163,2,4,103.5,1.5566666666666666
24,124,2,5,144.4,4.25
27,163,1,5,130.2,3.52
30,176,3,5,114.2,2.61
30,166,3,5,125.2,3.0733333333333333
13,140,2,5,162.8,9.343333333333334
